suite,region_number,group,model,match_plural,match_sing,mismatch_plural,mismatch_sing
SVNA-pp,6,00 18,llama,14.8445716590273,13.9073825878078,18.9441305010556,17.9613060207966
SVNA-pp,6,00 18,rnng,9.577713333333334,10.9562,13.907733333333333,13.5319
SVNA-pp,6,00 19,gpt2,4.906279,5.205805,10.503073,8.061234
SVNA-pp,6,00 19,grnn,4.991512,4.722957,7.646389,6.123817
SVNA-pp,6,00 19,human,1119.5,728.2,903.5454545454545,789.75
SVNA-pp,6,00 19,jrnn,4.320976,4.973428,7.203978,8.227614
SVNA-pp,6,00 19,llama,3.36387437099034,4.39085914522274,8.90563827793224,6.66342139070192
SVNA-pp,6,00 19,rnng,2.51774,3.5356566666666667,6.394633333333334,6.951440000000001
SVNA-pp,6,00 2,gpt2,14.737746,16.579668,18.113769,16.792299
SVNA-pp,6,00 2,grnn,14.229738,14.60311,15.345561,14.482805
SVNA-pp,6,00 2,human,1026,1140.5,1243.8333333333333,1252
SVNA-pp,6,00 2,jrnn,14.622093,16.577497,16.4655,17.055882
SVNA-pp,6,00 2,llama,14.0363498118129,13.2326658797326,17.5089286045736,15.3987976587185
SVNA-pp,6,00 2,rnng,8.481926666666666,8.884983333333333,10.7661,11.274333333333333
SVNA-pp,6,00 3,gpt2,20.912091,22.461282,23.294775,21.752163
SVNA-pp,6,00 3,grnn,19.048676,23.495754,22.412849,21.010689
SVNA-pp,6,00 3,human,1308.5,1401.857142857143,1315.8,1050.5
SVNA-pp,6,00 3,jrnn,16.368807,20.189108,17.831305,19.257702
SVNA-pp,6,00 3,llama,21.426120097673,20.464437464111,21.3541268873801,21.4246455307158
SVNA-pp,6,00 3,rnng,12.662733333333334,14.909966666666667,13.9325,13.641399999999999
SVNA-pp,6,00 4,gpt2,12.096345,NA,15.078606,13.711878
SVNA-pp,6,00 4,grnn,8.892682,NA,14.290416,10.162572
SVNA-pp,6,00 4,human,807.5,NA,1127.142857142857,906.8
SVNA-pp,6,00 4,jrnn,11.321659,NA,14.221362,13.947894
SVNA-pp,6,00 4,llama,10.6048335594819,NA,15.158308781701,13.907311079218
SVNA-pp,6,00 4,rnng,6.2002999999999995,NA,9.550163333333332,9.089723333333334
SVNA-pp,6,00 5,gpt2,NA,15.016296,16.866471,10.928393
SVNA-pp,6,00 5,grnn,NA,16.422781,18.011709,9.8304
SVNA-pp,6,00 5,human,NA,950.4,1107.9,918.3333333333334
SVNA-pp,6,00 5,jrnn,NA,14.759746,16.480635,10.289608
SVNA-pp,6,00 5,llama,NA,13.1387649553334,18.8086737432942,10.056829704697
SVNA-pp,6,00 5,rnng,NA,7.457863333333333,10.5279,8.706766666666667
SVNA-pp,6,00 6,gpt2,NA,13.311692,17.966856,14.448099
SVNA-pp,6,00 6,grnn,NA,16.154993,16.716389,13.67932
SVNA-pp,6,00 6,human,NA,895,1007,975.4285714285714
SVNA-pp,6,00 6,jrnn,NA,18.932138,19.109888,17.87151
SVNA-pp,6,00 6,llama,NA,13.2446322537856,19.3507327280316,17.4906294536416
SVNA-pp,6,00 6,rnng,NA,9.893283333333335,13.190866666666667,11.484633333333335
SVNA-pp,6,00 7,gpt2,5.671532,5.639907,10.847952,9.57225
SVNA-pp,6,00 7,grnn,4.065217,4.349518,8.24015,7.515718
SVNA-pp,6,00 7,human,717.7272727272727,839,2328,1096.4
SVNA-pp,6,00 7,jrnn,4.623449,5.626652,7.600942,8.106711
SVNA-pp,6,00 7,llama,4.21023016775582,4.39123363521008,9.71699560566237,9.34916682034194
SVNA-pp,6,00 7,rnng,2.775033333333333,2.47543,6.39102,5.6933333333333325
SVNA-pp,6,00 8,gpt2,5.028969,6.077647,NA,9.060228
SVNA-pp,6,00 8,grnn,4.709906,3.4538,NA,7.226689
SVNA-pp,6,00 8,human,861.5,799.5833333333334,NA,1200
SVNA-pp,6,00 8,jrnn,5.952295,6.502316,NA,9.965693
SVNA-pp,6,00 8,llama,4.83555582041071,4.37882922417498,NA,8.39690864942126
SVNA-pp,6,00 8,rnng,2.757686666666667,2.6656466666666665,NA,6.447166666666667
SVNA-pp,6,00 9,gpt2,4.572907,NA,9.91607,8.555412
SVNA-pp,6,00 9,grnn,4.257238,NA,7.658396,7.247063
SVNA-pp,6,00 9,human,760.3333333333334,NA,866.4545454545455,883.5
SVNA-pp,6,00 9,jrnn,4.802048,NA,8.798363,9.413249
SVNA-pp,6,00 9,llama,3.51252241124368,NA,8.55912133006964,8.07457912034241
SVNA-pp,6,00 9,rnng,3.5412200000000005,NA,6.852903333333333,5.723176666666667
SVNA-src,7,2001,gpt2,3.077314,3.231766,7.523602,7.706166
SVNA-src,7,2001,grnn,6.506202,5.608807,9.08034,9.999279
SVNA-src,7,2001,human,680.2,747.4166666666666,737.125,847
SVNA-src,7,2001,jrnn,4.794202,5.664664,7.35465,8.899734
SVNA-src,7,2001,llama,3.99664817120334,4.90147855499516,8.22208294308852,8.74650290298002
SVNA-src,7,2001,rnng,2.725236666666667,2.67061,6.854106666666667,6.776656666666668
SVNA-src,7,2002,gpt2,14.803478,14.687595,19.550464,18.396146
SVNA-src,7,2002,grnn,13.5174,14.392238,15.267553,15.612483
SVNA-src,7,2002,human,1762.5,973.4,1180.2727272727273,1322.857142857143
SVNA-src,7,2002,jrnn,15.388883,15.935669,17.611515,18.070375
SVNA-src,7,2002,llama,15.9468498415694,16.4665576185819,18.8616186624828,19.8232779236885
SVNA-src,7,2002,rnng,8.5294,9.079673333333334,11.2318,11.137566666666666
SVNA-src,7,2003,gpt2,19.53127,19.624234,19.333058,18.885012
SVNA-src,7,2003,grnn,16.170349,21.828951,19.879147,20.039345
SVNA-src,7,2003,human,1294.5,1256,1237.4,1390.1666666666667
